"inventory_id","film_id","store_id","last_update"
1,1,1,"2020-02-15 15:39:17+05:30"
2,1,1,"2020-02-15 15:39:17+05:30"
3,1,1,"2020-02-15 15:39:17+05:30"
4,1,1,"2020-02-15 15:39:17+05:30"
5,1,2,"2020-02-15 15:39:17+05:30"
6,1,2,"2020-02-15 15:39:17+05:30"
7,1,2,"2020-02-15 15:39:17+05:30"
8,1,2,"2020-02-15 15:39:17+05:30"
9,2,2,"2020-02-15 15:39:17+05:30"
10,2,2,"2020-02-15 15:39:17+05:30"
11,2,2,"2020-02-15 15:39:17+05:30"
12,3,2,"2020-02-15 15:39:17+05:30"
13,3,2,"2020-02-15 15:39:17+05:30"
14,3,2,"2020-02-15 15:39:17+05:30"
15,3,2,"2020-02-15 15:39:17+05:30"
16,4,1,"2020-02-15 15:39:17+05:30"
17,4,1,"2020-02-15 15:39:17+05:30"
18,4,1,"2020-02-15 15:39:17+05:30"
19,4,1,"2020-02-15 15:39:17+05:30"
20,4,2,"2020-02-15 15:39:17+05:30"
21,4,2,"2020-02-15 15:39:17+05:30"
22,4,2,"2020-02-15 15:39:17+05:30"
23,5,2,"2020-02-15 15:39:17+05:30"
24,5,2,"2020-02-15 15:39:17+05:30"
25,5,2,"2020-02-15 15:39:17+05:30"
26,6,1,"2020-02-15 15:39:17+05:30"
27,6,1,"2020-02-15 15:39:17+05:30"
28,6,1,"2020-02-15 15:39:17+05:30"
29,6,2,"2020-02-15 15:39:17+05:30"
30,6,2,"2020-02-15 15:39:17+05:30"
31,6,2,"2020-02-15 15:39:17+05:30"
32,7,1,"2020-02-15 15:39:17+05:30"
33,7,1,"2020-02-15 15:39:17+05:30"
34,7,2,"2020-02-15 15:39:17+05:30"
35,7,2,"2020-02-15 15:39:17+05:30"
36,7,2,"2020-02-15 15:39:17+05:30"
37,8,2,"2020-02-15 15:39:17+05:30"
38,8,2,"2020-02-15 15:39:17+05:30"
39,8,2,"2020-02-15 15:39:17+05:30"
40,8,2,"2020-02-15 15:39:17+05:30"
41,9,1,"2020-02-15 15:39:17+05:30"
42,9,1,"2020-02-15 15:39:17+05:30"
43,9,1,"2020-02-15 15:39:17+05:30"
44,9,2,"2020-02-15 15:39:17+05:30"
45,9,2,"2020-02-15 15:39:17+05:30"
46,10,1,"2020-02-15 15:39:17+05:30"
47,10,1,"2020-02-15 15:39:17+05:30"
48,10,1,"2020-02-15 15:39:17+05:30"
49,10,1,"2020-02-15 15:39:17+05:30"
50,10,2,"2020-02-15 15:39:17+05:30"
51,10,2,"2020-02-15 15:39:17+05:30"
52,10,2,"2020-02-15 15:39:17+05:30"
53,11,1,"2020-02-15 15:39:17+05:30"
54,11,1,"2020-02-15 15:39:17+05:30"
55,11,1,"2020-02-15 15:39:17+05:30"
56,11,1,"2020-02-15 15:39:17+05:30"
57,11,2,"2020-02-15 15:39:17+05:30"
58,11,2,"2020-02-15 15:39:17+05:30"
59,11,2,"2020-02-15 15:39:17+05:30"
60,12,1,"2020-02-15 15:39:17+05:30"
61,12,1,"2020-02-15 15:39:17+05:30"
62,12,1,"2020-02-15 15:39:17+05:30"
63,12,2,"2020-02-15 15:39:17+05:30"
64,12,2,"2020-02-15 15:39:17+05:30"
65,12,2,"2020-02-15 15:39:17+05:30"
66,12,2,"2020-02-15 15:39:17+05:30"
67,13,2,"2020-02-15 15:39:17+05:30"
68,13,2,"2020-02-15 15:39:17+05:30"
69,13,2,"2020-02-15 15:39:17+05:30"
70,13,2,"2020-02-15 15:39:17+05:30"
71,15,1,"2020-02-15 15:39:17+05:30"
72,15,1,"2020-02-15 15:39:17+05:30"
73,15,2,"2020-02-15 15:39:17+05:30"
74,15,2,"2020-02-15 15:39:17+05:30"
75,15,2,"2020-02-15 15:39:17+05:30"
76,15,2,"2020-02-15 15:39:17+05:30"
77,16,1,"2020-02-15 15:39:17+05:30"
78,16,1,"2020-02-15 15:39:17+05:30"
79,16,2,"2020-02-15 15:39:17+05:30"
80,16,2,"2020-02-15 15:39:17+05:30"
81,17,1,"2020-02-15 15:39:17+05:30"
82,17,1,"2020-02-15 15:39:17+05:30"
83,17,1,"2020-02-15 15:39:17+05:30"
84,17,2,"2020-02-15 15:39:17+05:30"
85,17,2,"2020-02-15 15:39:17+05:30"
86,17,2,"2020-02-15 15:39:17+05:30"
87,18,1,"2020-02-15 15:39:17+05:30"
88,18,1,"2020-02-15 15:39:17+05:30"
89,18,1,"2020-02-15 15:39:17+05:30"
90,18,2,"2020-02-15 15:39:17+05:30"
91,18,2,"2020-02-15 15:39:17+05:30"
92,18,2,"2020-02-15 15:39:17+05:30"
93,19,1,"2020-02-15 15:39:17+05:30"
94,19,1,"2020-02-15 15:39:17+05:30"
95,19,1,"2020-02-15 15:39:17+05:30"
96,19,1,"2020-02-15 15:39:17+05:30"
97,19,2,"2020-02-15 15:39:17+05:30"
98,19,2,"2020-02-15 15:39:17+05:30"
99,20,1,"2020-02-15 15:39:17+05:30"
100,20,1,"2020-02-15 15:39:17+05:30"
